symbol,shortName,country,averageVolume,currentPrice,currency,sector,industry,profitMargins,operatingMargins,operatingCashflow,returnOnAssets,returnOnEquity,trailingEps,totalRevenue,revenuePerShare,revenueGrowth,grossProfits,netIncomeToCommon,totalCash,totalCashPerShare,totalDebt,bookValue,marketCap,enterpriseValue,earningsQuarterlyGrowth,enterpriseToRevenue,beta,fiftyTwoWeekHigh,fiftyTwoWeekLow,fiftyDayAverage,twoHundredDayAverage
GARAN.IS,GARANTI BANKASI,Turkey,147291122,9.39,TRY,Financial Services,Banks—Regional,0.30776,0.36997002,-8040190097.085952,0.015520001,0.13484000000000002,0.23217492573255824,3168651999.758396,0.7544231813112521,0.337,2732762819.892818,975175128.6006137,11502552060.331415,2.73808296240735,10212714505.883957,16.025,4585135077.996507,3326487993.756205,0.755,1.05,1.200986,1.2567906595738378,0.7487263503844142,1.0950205420289567,0.965851411426823
AKBNK.IS,AKBANK,Turkey,65229093,5.55,TRY,Financial Services,Banks—Regional,0.35342997,0.47333000000000003,-6105998072.559239,0.0153,0.120299995,0.16788211955824442,2470019039.8215604,0.4750459421848939,0.3,2204561608.519289,872978985.6834084,10187673554.92593,1.9591285295540004,14039285538.470041,12.944,3355317183.814928,7206951311.057114,0.331,2.918,1.043517,0.8870779586076211,0.540617628771355,0.6539895634752227,0.6206269451161137
ISCTR.IS,IS BANKASI (C),Turkey,40740588,5.27,TRY,Financial Services,Banks—Regional,0.22107,0.24506999999999998,-6665408.446256032,0.012359998999999998,0.12165,0.19729636903763206,4016096801.4669924,0.8924260039675098,0.043,3802497454.674654,887836573.7263998,14310623461.877756,3.1801105375877143,23579771658.588867,15.618,2761095808.072007,12937197018.76336,0.355,3.221,1.167339,0.8568498761386851,0.5417802473278525,0.6415329194753412,0.6106267629856992
YKBNK.IS,YAPI VE KREDI BANK.,Turkey,193645340,2.45,TRY,Financial Services,Banks—Regional,0.35070999999999997,0.45748,-5068753920.151594,0.0126,0.1306,0.0867313443147163,2089841268.813596,0.24740522882267602,0.408,1855328549.6876328,732927298.0168372,9996997742.37083,1.1835456905144932,18595355703.170258,6.205,2406070897.033842,11004532195.090946,0.677,5.266,1.266038,0.39063983498317256,0.2290358556300149,0.29397640310689577,0.2699876642618161
SAHOL.IS,SABANCI HOLDING,Turkey,15962974,9.67,TRY,Financial Services,Banks—Regional,0.24125999,0.48563999999999996,1478400072.462126,0.02157,0.1443,0.3426236885998243,2892571991.5028176,1.4202548286173915,0.392,2445872274.60695,699178575.895305,5214736606.863989,2.5586909191397798,14852104025.205729,20.351,2291787985.584319,16808706900.809488,0.652,5.811,0.9403309999999999,1.3846787007885673,0.8556872575821877,1.1606919812875651,1.07426768453362
VAKBN.IS,VAKIFLAR BANKASI,Turkey,37962129,3.44,TRY,Financial Services,Banks—Regional,0.27534000000000003,0.33971999999999997,-4663972357.644364,0.0060900003000000005,0.08387999,0.12137737729834293,1621411336.8076348,0.4406324329125667,-0.368,2021866333.4089987,446434126.45263165,12687450391.499659,3.248472508709769,27013519201.836502,12.257,1562016700.2777257,16008385079.12478,-0.6809999999999999,9.873,1.005832,0.5813092782487688,0.38366412364418734,0.4108029774680971,0.41633940191269503
HALKB.IS,T. HALK BANKASI,Turkey,42513503,4.67,TRY,Financial Services,Banks—Regional,0.13151,0.12474,-7672764715.126081,0.00198,0.031600002,0.06254887833956753,1178242602.219042,0.4757435133187923,-0.313,1392645660.7088225,154949619.5035678,6882686139.582917,2.782262467554257,15978068689.73086,17.067,1343121244.6216555,10470134757.895443,-0.905,8.886000000000001,0.877074,0.7231487421414683,0.4778362267204879,0.5496860535120357,0.5472356023805058
TSKB.IS,T.S.K.B.,Turkey,54790443,1.25,TRY,Financial Services,Banks—Regional,0.56165004,0.67945,140360270.81393167,0.014989998999999999,0.12546,0.02953051133503745,147445614.2925101,0.052550358753688686,0.484,147053226.80931282,82812624.06837541,520023915.15450585,0.18567018347265676,5288252255.845563,2.17,406916494.77413815,5181442961.548315,0.174,35.141,0.861123,0.324370577262813,0.1209123298757439,0.15250233860031778,0.15657951398991346
ALBRK.IS,ALBARAKA TURK,Turkey,11662026,1.52,TRY,Financial Services,Banks—Regional,0.20106001,0.24411999999999998,-1706036217.1984642,0.00604,0.08495,0.0309256536028345,213413402.23088536,0.15369817316897447,0.35600000000000004,196021209.0048656,42909810.35145031,1748195199.1851802,1.2949245482269571,1347149969.0455275,3.117,238569327.79329467,-842433.4060381156,3.81,-0.004,1.047287,0.3185574844803253,0.16741707213564538,0.17532287831982865,0.18827916927055055
SKBNK.IS,SEKERBANK,Turkey,37425039,1.01,TRY,Financial Services,Banks—Regional,0.105749995,0.10232000000000001,-383749335.21352506,0.00471,0.073,0.013835160822320695,183207284.8818136,0.1309108494616227,-0.11900000000000001,186081169.13237858,19374690.38855936,746590852.6198393,0.40133592570295,679715634.3874539,1.473,218409514.58286864,181260484.7594327,-0.8109999999999999,0.9890000000000001,1.1094110000000001,0.20638851119686547,0.11742447420625128,0.12141059331050205,0.13024579676874942
