symbol,shortName,marketCap,point_prediction_developing,lower_bound_developing,upper_bound_developing,country,cpr,currency,financial_model_developed,financial_model_developing,undervalued
CANBK.NS,CANARA BANK,3.6508316425205027,5.744370460510254,3.1849562740325927,8.303784646987914,India,0.0213,0.013552520498201708,5.298346769335899,3.9581647552712984,True
UNIONBANK.NS,UNION BK OF INDIA,3.3402434822143086,5.025616645812988,3.5605547261238097,6.490678565502168,India,0.0213,0.013552520498201708,4.847599121433902,3.462906652297417,True
INDIANB.NS,INDIAN BANK,2.1070570779514517,4.918975830078125,3.979053382873535,5.858898277282715,India,0.0213,0.013552520498201708,3.0579112254168317,3.3894256814552914,True
BBAS3.SA,BRASIL      ON      NM,15.679842836574414,37.34514617919922,26.887217102050787,47.80307525634765,Brazil,0.0291,0.18800936918436756,25.346864585394663,23.10210877664748,True
PNBN.JK,Bank Pan Indonesia Tbk,1.294616431,2.012228012084961,1.522096700668335,2.502359323501587,Indonesia,0.0184,6.997625261910861e-05,1.799297412576271,1.4478225940611305,True
SDRA.JK,Bank Woori Saudara Indonesia 19,0.34222769010000004,0.5627135038375854,0.17714410662651064,0.9482829010486602,Indonesia,0.0184,6.997625261910861e-05,0.4756384845457627,0.4048792283709457,True
VTBR.ME,VTB BANK PJSC,9.14801415726703,22.63156509399414,19.522032942771908,25.74109724521637,Russia,0.0213,0.013704765736097597,13.276249359593042,15.59430470710253,True
BSPB.ME,BANK ST PETERSBURG,0.5066057188591868,1.3989191055297852,0.904653879404068,1.8931843316555024,Russia,0.0213,0.013704765736097597,0.7352222826664048,0.9639267413285525,True
USBN.ME,BANK URALSIB PJSC,0.4374786062891268,0.751778781414032,0.33134880244731896,1.1722087603807452,Russia,0.0213,0.013704765736097597,0.6349000959916354,0.5180139924487928,True
KUZB.ME,KUZNETSKY BANK PUB,0.007254544542323997,0.02847773395478725,-0.1436921674758196,0.2006476353853941,Russia,0.0213,0.013704765736097597,0.010528311465025295,0.01962261376154683,True
KBANK.BK,KASIKORNBANK PUBLIC COMPANY LIM,8.698700447976291,13.26423168182373,10.704786653518678,15.823676710128785,Thailand,0.0155,0.029895408163265302,11.555265213731222,9.985195141659966,True
BAY.BK,BANK OF AYUDHYA PUBLIC COMPANY ,6.8067793139018535,10.040190696716307,8.77882666349411,11.301554729938507,Thailand,0.0155,0.029895408163265302,9.042056419102675,7.558165883333487,True
KTB.BK,KRUNG THAI BANK PUBLIC COMPANY ,4.66850640623814,6.275064945220947,3.939785327911377,8.610344562530518,Thailand,0.0155,0.029895408163265302,6.201596433710411,4.723812845525178,True
GARAN.IS,GARANTI BANKASI,4.585135077996506,9.839768409729004,7.636162366867065,12.043374452590944,Turkey,0.0533,0.11312868037455352,9.762840579208664,4.621264367554318,True
AKBNK.IS,AKBANK,3.355317183814928,8.856295585632324,7.538008754253387,10.17458241701126,Turkey,0.0533,0.11312868037455352,7.144266461300853,4.159374643202445,True
ISCTR.IS,IS BANKASI (C),2.7610958080720067,8.548028945922853,5.645166945457459,11.450890946388245,Turkey,0.0533,0.11312868037455352,5.879028150661794,4.014596679080186,True
YKBNK.IS,YAPI VE KREDI BANK.,2.406070897033842,7.097672939300537,5.773831191062928,8.421514687538147,Turkey,0.0533,0.11312868037455352,5.123095871862311,3.3334344550744817,True
SAHOL.IS,SABANCI HOLDING,2.2917879855843197,7.013839721679688,4.849964728355408,9.177714715003967,Turkey,0.0533,0.11312868037455352,4.879760435407291,3.2940620384406096,True
VAKBN.IS,VAKIFLAR BANKASI,1.5620167002777257,5.386576652526856,4.0305700325965885,6.7425832724571215,Turkey,0.0533,0.11312868037455352,3.325904202921852,2.529815104470325,True
HALKB.IS,T. HALK BANKASI,1.3431212446216554,4.381282329559326,2.3091900444030764,6.453374614715576,Turkey,0.0533,0.11312868037455352,2.8598238365355164,2.057676875176121,True
TSKB.IS,T.S.K.B.,0.40691649477413816,1.1000163555145264,0.5375221145153046,1.662510596513748,Turkey,0.0533,0.11312868037455352,0.8664217738305272,0.5166245968187627,True
